Actual Demand,Forecast Demand
7426.36,8092.71698106432
7474.78,8122.985552187443
7619.05,8128.298611759902
7697.89,8151.734194429637
7928.38,8253.527368526937
8072.55,8503.421839223982
8361.63,8909.802069548847
8734.08,9205.53625699258
8895.15,9162.294758295178
8687.38,9096.860386075974
8506.35,8980.049549890995
8401.66,9016.42842630148
8166.22,8705.711946184278
7981.87,8582.237321176053
7728.72,8284.954526947977
7819.87,8345.983973202825
7657.84,7988.835577633441
7618.75,7972.779775442184
7575.17,7913.7052062700395
7364.89,8062.205603692294
7185.96,7557.1843788203605
6965.91,7319.297346282661
6747.61,7157.272927575529
6458.02,6737.815095328928
6194.06,6522.2676715855005
6015.03,6352.635961032808
5965.66,6309.175076374293
5971.76,6294.215726023555
6080.85,6376.000804874123
6348.61,6583.473008981288
6608.71,6755.759815425039
7129.54,7191.276317653239
7626.02,7694.35461456889
7850.56,8165.883871973992
8256.16,8532.740215813996
8490.26,8525.562136589528
8599.35,8591.729707206012
8625.45,8606.79038614881
8682.5,8694.811475096703
8665.82,8627.94320770681
8531.03,8546.068749390603
8300.79,8410.678455513955
8264.67,8337.4226631037
8170.67,8368.52480528605
8046.27,8137.232734603405
7847.86,8098.074013422013
7911.64,8122.808705116392
7835.28,8120.630140387059
7829.72,8094.781790110112
7860.49,8122.421553420306
7907.02,8137.430612136961
7998.44,8147.907606184126
8070.1,8265.939165124417
8282.48,8420.480562900782
8583.18,8766.155407279373
8985.08,9060.677475338818
9185.07,9069.825726527812
9040.72,8965.44389368236
8935.48,8795.721369768858
8797.54,8641.252622681142
8589.73,8328.650092449427
8328.27,8211.522843396784
8127.39,7894.219526830495
8207.69,7921.847818979323
8011.02,7776.711817592562
7870.83,7708.151553901256
7738.62,7640.776165585995
7586.46,7551.898085291088
7402.48,7356.542773341299
7211.04,7247.483096484006
6971.15,7046.190024632395
6623.31,6668.885842613698
6397.92,6476.268792474866
6253.42,6281.682526301623
6144.64,6240.314172662199
6133.92,6240.785924173356
6218.54,6363.980939623297
6516.48,6579.942281105996
6825.3,6755.759815425039
7341.0,7181.738524942875
7694.7,7656.538497232318
7768.76,7851.292529140533
8038.680000000001,8122.277207973123
8189.719999999999,8271.5103258276
8199.38,8518.768341270805
8271.31,8487.253237279298
8272.56,8507.780880542876
8247.51,8428.45779970038
8225.35,8423.733593078017
8051.75,8279.827873747707
7977.11,8193.106849754573
7878.56,8343.109491350651
7837.75,8236.310111247421
7750.91,8203.904080389859
7671.2,8193.764529672862
7623.22,8248.354830681206
7591.07,8211.943452646852
7613.07,8186.394308495523
7727.25,8398.880366049529
7831.15,8363.046369803906
8044.109999999999,8517.669021639944
8289.41,8637.963267159583
8601.05,9197.666084365726
8954.2,9485.458404424073
9079.62,9337.756686611892
8860.43,9238.350470008732
8689.64,9110.66210505891
8563.13,8938.971321041108
8402.77,8639.724090429188
8176.49,8407.019155038357
7959.45,7959.741366655112
8090.07,8002.294595670582
7934.28,7834.316166249693
7860.78,7738.1639357538825
7771.63,7167.614657511593
7614.68,7134.365018328608
7408.83,6959.050781214476
7203.8,6685.860293644309
6940.34,6526.165954589546
6546.86,6221.990904241026
6250.09,6096.073399827004
6036.04,6068.140165971876
5945.72,6044.476116004945
5879.82,6317.106906493485
5876.63,6454.863605366827
5958.33,6754.749875259818
5998.17,7048.253877748073
6230.57,7348.48715027237
6444.31,7717.022107392193
6529.02,7919.212319655598
6784.12,8174.13068106568
6993.71,8278.286914404274
7113.6,8368.933943374754
7285.39,8362.701279032826
7173.81,8344.573020354868
7113.43,8307.465725197673
6987.45,8319.99223340881
6838.02,8258.958007503392
6783.4,8278.881502935054
6758.64,8282.840009536267
6675.38,8185.160202718616
6662.55,8249.494299376845
6592.51,8232.200567688227
6577.23,8206.32162764764
6588.07,8233.7233643595
6695.64,8238.644492585303
6800.29,8236.095982901932
6900.71,8243.614373246908
7105.89,8319.018140622855
7145.36,8346.098684816481
7454.44,8341.640226765752
7816.84,8412.558770047784
8013.01,8424.044270365
7903.72,8354.836841986657
7726.96,8335.490728343726
7617.51,8326.993465562226
7485.2,7926.865974111677
7338.24,7923.146928003967
7221.24,7888.10683171785
7288.09,7729.333531327725
7100.1,7568.806577143849
7088.1,7343.8967738659385
7004.59,7196.197445879043
6773.09,7306.513214905859
6573.86,7252.723983332873
6435.4,6971.020938099385
6238.95,6842.702137239517
6042.92,6501.165514323533
5895.31,6061.511746562839
5792.81,6010.79678623581
5727.63,6010.187858753324
5757.24,6444.808176499844
5815.26,6444.980721885384
5926.2,6819.138459934533
5976.67,7020.995052588225
6165.5,7437.543511533499
6399.37,7854.384485093594
6523.93,7995.835375891686
6685.12,8259.236183166504
6732.64,8280.892779894471
6802.62,8340.14993171835
6702.99,8341.962375214101
6663.66,8338.26961718452
6551.5,8305.963958988905
6482.13,8339.308713218214
6482.34,8265.318766480566
6386.39,8286.174293773174
6428.15,8263.063727342129
6344.51,8215.66297671962
6299.78,8267.81756779802
6289.15,8248.769704350592
6328.95,8272.022704368592
6444.44,8250.469348092915
6513.97,8273.740510783076
6675.03,8321.667978898287
6784.0,8262.971002121092
6948.06,8346.528853367687
7150.89,8315.35406049669
7301.61,8308.48092297852
7461.76,8342.34570318973
7482.06,8396.47811367357
7279.92,8333.828365875841
7148.19,8278.150216398002
7063.95,8190.063168272258
6955.71,7938.286949146212
6930.56,7819.343432877363
6809.82,7637.120210865796
6826.6,7649.799189930082
6683.71,7507.671978576482
6522.3,7336.29234981072
6433.41,7189.323352430762
6300.99,7126.337117232979
6126.33,6875.847102075041
5953.53,6679.880472817481
5740.49,6502.892402074099
5607.91,6323.9919931380755
5512.95,6185.337675887883
5428.01,6086.544688452721
5390.26,6064.391008065581
5388.26,6253.377913597286
5501.38,6426.749222755135
5669.2,6688.9436462263475
5749.13,6977.294229471147
5936.55,7325.037228650928
6122.22,7710.33919996667
6370.21,7890.554012809158
6530.07,8148.995454653621
6822.78,8266.662804220558
6920.11,8236.203047074676
7044.34,8326.933241965056
7006.01,8339.588800741554
6935.93,8341.421318769693
6857.41,8350.232126628518
6821.81,8294.163957664252
6769.32,8279.837433048846
6721.31,8263.511102635384
6729.8,8182.1203449567565
6680.16,8250.78862875092
6578.27,8232.583895663858
6564.06,8205.54541239524
6519.53,8235.14770022905
6652.83,8239.234301465513
6772.85,8243.122069238305
6950.1,8245.239454440356
7244.23,8322.917379557015
7380.35,8339.997938830256
7586.91,8332.379175823331
7808.65,8407.563079273106
7887.4,8422.260504772665
7786.46,8351.536971233845
7609.64,8325.48978749323
7465.58,8197.54236548257
7295.12,7874.719508439243
7180.43,7799.215368401349
6999.71,7631.705344736219
7045.88,7640.893267024935
6998.2,7495.30654458952
7011.39,7329.806841953696
6980.92,7193.7755969357495
6836.22,7116.526884440184
6648.06,6899.816571713329
6449.71,6683.818426921249
6206.27,6497.158255286516
5992.16,6223.925706791342
5882.16,6045.371822521568
5828.37,6037.823320378006
5846.08,6029.372420207024
6051.1,6343.21431383127
6294.14,6448.042088074804
6877.78,6796.200438889027
7281.11,7039.332181996048
7693.86,7352.281714859069
7916.59,7718.156796437264
7876.25,7931.631763693989
7948.93,8242.495935013772
7926.41,8292.616306810021
7897.89,8386.40834585488
7820.38,8365.136033032657
7702.89,8343.010074618816
7588.62,8316.35778711617
7561.14,8323.100918138862
7458.87,8258.508720349908
7435.99,8254.954572186829
7396.11,8273.525426507475
7386.61,8181.9893825311665
7372.45,8250.206467311622
7349.54,8232.548526249648
7413.62,8205.94403525269
7475.86,8238.83567860806
7612.62,8239.688368269564
7707.73,8267.920808250308
7922.39,8250.353680549146
8212.14,8330.872629963995
8275.85,8310.694857122064
8445.94,8312.935557308794
8558.39,8342.217608554483
8562.23,8399.869753717305
8345.66,8332.30556920457
8056.380000000001,8278.150216398002
7966.31,8332.773019030214
7711.1,7898.560405477227
7618.3,7773.699681804002
7333.09,7631.792334376574
7351.26,7615.676308588148
7279.36,7515.527334286571
7263.02,7345.102679704488
7143.73,7166.197969082952
6956.75,7127.674941427232
6814.2,6869.9404099019175
6556.01,6684.0335111968525
6315.13,6502.197440881372
6133.71,6256.84841787541
5998.46,6106.026544171811
5985.53,6064.590797459365
6053.64,6039.685472239674
6250.97,6325.370922327221
6517.14,6458.414885739566
7095.07,6781.337637479783
7490.11,7058.882386718274
7917.71,7347.763989141286
8105.42,7802.211731343032
8022.729999999999,8044.0496230410345
7985.14,8328.173083322645
7950.45,8356.9953321836
7885.07,8484.686564923764
7810.5,8413.819641867876
7676.62,8388.214097839833
7562.63,8333.460332782031
7519.11,8311.194808571578
7432.8,8258.572767667532
7367.18,8284.101837286473
7310.36,8272.361103628875
7342.83,8181.979823230029
7297.15,8250.011457568407
7290.73,8232.476831491113
7348.49,8205.708876444698
7376.07,8234.118163496494
7498.57,8239.370999471785
7600.03,8254.182180654883
7776.03,8246.970643876433
7978.29,8326.582415613295
8024.76,8322.627732732535
8223.26,8309.218901026368
8355.57,8365.368324050309
8398.98,8421.755773672581
8291.4,8352.924981759072
8073.420000000001,8336.713362959266
7946.7,8334.80341459191
7682.48,7891.484132809878
7569.37,7799.215368401349
7333.38,7630.763275609077
7350.59,7632.1966928147085
7224.76,7508.98112486732
7171.2,7344.2265697551975
7104.65,7343.022575776876
6952.46,7273.5986292277585
6798.6,7239.125399499119
6564.6,6847.946847808838
6330.52,6835.115397891403
6117.37,6403.274446950734
6024.64,6051.571985239625
5964.85,6014.0373893215665
5985.59,6010.187858753324
6239.12,6342.036607931078
6530.74,6436.332422145903
7044.99,6918.1092503708605
7496.51,7030.773739687264
7837.5,7344.200281677068
8014.94,7755.851032684327
7951.74,7916.2197804343705
7971.53,8154.539849313617
7978.06,8260.046811903001
7883.28,8284.329348653555
7777.89,8331.871576932908
7739.68,8334.912390624882
7677.12,8325.700092118264
7620.57,8348.448361036182
7581.89,8316.815677640678
7494.72,8323.346592178106
7501.72,8315.96967948997
7465.73,8273.505351975084
7508.11,8308.126272906304
7504.67,8374.820561015487
7556.36,8385.753533726931
7587.15,8400.666999432207
7654.19,8403.488905128122
7773.32,8432.361818285108
7877.92,8450.555080210806
8089.199999999999,8473.629321297527
8057.229999999999,8396.003016407014
8162.490000000001,8658.520544256688
8266.48,8606.445295377733
8261.18,8528.47389971614
8154.38,8393.303469765664
7994.05,8366.226749292493
7833.06,8207.656106086493
7594.55,7995.257994102955
7544.46,7842.283365783096
7334.42,7640.53527119732
7387.75,7628.7185410956745
7306.3,7507.017644413591
7173.21,7343.78875376308
7089.92,7163.719720262945
6972.11,7125.445234436811
6786.39,6871.573616501332
6523.09,6682.2798574031
6291.2,6495.143632571698
6108.49,6275.610458218814
5984.02,6096.073399827004
5946.37,6067.817061593414
5985.54,6041.896060627819
6212.12,6320.779112025619
6492.4,6457.083275091052
6956.82,6773.890463928283
7315.56,7059.27097230953
7612.3,7352.1885116729745
7834.08,7718.34846042508
7862.27,7891.95970804149
7996.63,8148.963908959866
8001.94,8266.662804220558
7998.84,8235.6017670331
8000.19,8337.760106433869
7910.22,8348.549689628244
7900.55,8385.641689903618
7956.69,8366.11968511975
7902.71,8355.622616540195
7850.88,8392.90675876844
7884.29,8389.792338457704
7865.1,8394.975391534686
7816.37,8407.597492757202
7860.93,8405.884465993286
7907.7,8436.707476582409
8033.75,8430.142148560883
8119.459999999999,8429.036137419225
8135.45,8461.424005604626
8144.95,8496.002865610839
8174.259999999999,8519.592353028895
7986.08,8454.17327569151
8080.86,8717.602760869742
8129.030000000001,8750.625366650702
8113.360000000001,8649.552007929087
7977.03,8393.303469765664
7782.68,8296.808060359002
7642.77,8214.220478177906
7470.98,7989.380457798303
7519.65,7835.592332951606
7333.85,7697.5732312620285
7448.68,7675.04530423534
7271.1,7463.72548142016
7161.33,7316.626955509782
7071.83,7281.309161525608
6899.71,7175.807934516907
6700.96,7020.039122474433
6389.83,6717.7931390955455
6124.49,6542.914328148247
5934.88,6324.52253435123
5812.79,6173.130926299811
5792.46,6082.022183084369
5788.79,6060.331650837363
5871.86,6274.375396511794
5950.63,6444.034829037786
6161.12,6711.852989368439
6298.89,6977.294229471147
6561.42,7327.063800492168
6856.79,7708.628563028038
7122.08,7891.95970804149
7286.04,8148.907509083153
7511.57,8260.046811903001
7550.95,8336.644535991074
7490.61,8349.551504387498
7410.8,8342.180327280044
7304.69,8304.448809758545
7230.65,8312.875333711625
7072.15,8276.210634197116
6936.7,8318.27347106421
6931.0,8297.930322312593
6835.97,8201.722647870183
6787.95,8248.329976498248
6832.23,8234.950778625609
6846.59,8242.642192321182
6966.56,8262.90504294324
7084.78,8236.252755440593
7190.63,8288.900606457712
7206.71,8278.87863514471
7326.91,8304.642863571644
7497.99,8363.005264809013
7634.91,8394.017549560667
7654.87,8419.681405325651
7650.81,8422.705012275577
7542.37,8357.265860405803
7396.3,8341.968110794784
